iter	Passed	Remaining
788	9681	88487
789	9696	88492
790	9709	88494
791	9723	88497
792	9737	88500
793	9751	88502
794	9766	88514
795	9780	88516
796	9795	88525
797	9809	88534
798	9824	88545
799	9838	88550
800	9853	88560
801	9868	88571
802	9883	88583
803	9897	88586
804	9911	88587
805	9925	88591
806	9939	88593
807	9953	88594
808	9967	88596
809	9971	88510
810	9984	88509
811	9998	88510
812	10012	88511
813	10026	88513
814	10041	88524
815	10055	88529
816	10069	88532
817	10083	88535
818	10097	88533
819	10112	88543
820	10125	88542
821	10139	88543
822	10153	88543
823	10167	88544
824	10181	88549
825	10195	88553
826	10209	88551
827	10223	88550
828	10236	88547
829	10250	88546
830	10263	88541
831	10276	88540
832	10290	88540
833	10304	88543
834	10316	88523
835	10330	88522
836	10344	88529
837	10361	88552
838	10377	88569
839	10392	88580
840	10406	88583
841	10420	88585
842	10425	88509
843	10439	88510
844	10453	88511
845	10467	88513
846	10480	88510
847	10494	88506
848	10507	88507
849	10522	88510
850	10536	88516
851	10551	88523
852	10566	88529
853	10581	88539
854	10595	88540
855	10602	88485
856	10616	88490
857	10630	88491
858	10637	88431
859	10652	88437
860	10666	88439
861	10680	88444
862	10694	88443
863	10708	88443
864	10722	88443
865	10735	88440
866	10749	88439
867	10754	88363
868	10768	88362
869	10781	88362
870	10797	88372
871	10811	88376
872	10826	88382
873	10839	88379
874	10853	88376
875	10869	88392
876	10882	88391
877	10896	88390
878	10904	88336
879	10909	88266
880	10922	88262
881	10936	88261
882	10950	88258
883	10963	88253
884	10974	88228
885	10988	88227
886	11002	88228
887	11016	88231
888	11031	88237
889	11044	88233
890	11060	88250
891	11075	88257
892	11088	88251
893	11102	88247
894	11115	88242
895	11129	88243
896	11143	88241
897	11157	88240
898	11168	88215
899	11182	88216
900	11189	88163
901	11203	88160
902	11217	88158
903	11230	88157
904	11244	88157
905	11256	88137
906	11270	88136
907	11284	88139
908	11298	88140
909	11313	88142
910	11327	88146
911	11341	88144
912	11355	88148
913	11370	88149
914	11383	88147
915	11397	88144
916	11409	88125
917	11422	88122
918	11430	88069
919	11444	88069
920	11457	88064
921	11464	88010
922	11478	88009
923	11492	88010
924	11506	88007
925	11520	88010
926	11534	88009
927	11548	88010
928	11563	88014
929	11577	88013
930	11591	88011
931	11604	88006
932	11611	87953
933	11625	87951
934	11639	87948
935	11653	87948
936	11667	87946
937	11678	87927
938	11693	87928
939	11707	87927
940	11714	87876
941	11728	87874
942	11741	87871
943	11753	87851
944	11767	87847
945	11780	87844
946	11794	87844
947	11808	87840
948	11822	87839
949	11836	87838
950	11850	87835
951	11864	87838
952	11879	87840
953	11893	87840
954	11900	87789
955	11914	87787
956	11928	87786
957	11942	87783
958	11947	87719
959	11954	87668
960	11968	87665
961	11975	87615
962	11986	87591
963	12000	87588
964	12013	87581
965	12027	87576
966	12041	87575
967	12054	87572
968	12068	87570
969	12083	87570
970	12096	87566
